product_id,stock_quantity,reorder_level
P101,             120,50
P102,             40,60
P103,             90,30
P104,             25,50
P105,             100,40
P106,             75,30
P107,             20,45
P108,             150,60
P109,             35,50
P110,             200,80
P111,             55,40
P112,             90,35
P113,             15,30
P114,             180,70
P115,             65,50
P116,             45,60
P117,             110,40
P118,             30,50
P119,             140,55
P120,             80,35
P121,             95,40
P122,             25,50
P123,             170,70
P124,             60,45
P125,             100,40
P126,             35,55
P127,             125,50
P128,             70,30
P129,             20,45
P130,             160,60
P131,             85,40
P132,             45,55
P133,             115,50
P134,             30,40
P135,             190,75
P136,             65,35
P137,             105,45
P138,             50,60
P139,             130,55
P140,             75,40
P141,             95,35
P142,             20,50
P143,             155,60
P144,             55,45
P145,             120,50
P146,             40,55
P147,             175,70
P148,             80,35
P149,             25,45
P150,             145,60
P151,             100,40
P152,             60,50
P153,             130,55
P154,             35,45
P155,             165,65
P156,             70,30
P157,             110,45
P158,             45,55
P159,             135,50
P160,             85,40
P161,             90,35
P162,             30,50
P163,             150,60
P164,             65,45
P165,             115,50
P166,             50,55
P167,             180,70
P168,             75,35
P169,             40,45
P170,             140,60
P171,             105,40
P172,             55,50
P173,             125,55
P174,             35,45
P175,             160,65
P176,             80,30
P177,             100,45
P178,             45,55
P179,             130,50
P180,             70,40
P181,             95,35
P182,             25,50
P183,             145,60
P184,             60,45
P185,             110,50
P186,             40,55
P187,             170,70
P188,             75,35
P189,             30,45
P190,             135,60
P101,             120,50
P110,             200,80
P125,             100,40
P145,             120,50
P191,             -20,40
P192,             80,-10
P193,             abc,50
P194,             100,NA
,75,40
P195,99999,50
