sale_id,product_id,store_id,quantity,sale_date
1001,   P101,       S101,       10  ,2026-09-01
1002,   P102,       S102,       25  ,2026-09-01
1003,   P103,       S101,       8,  2026-09-01
1004,   P104,       S103,       40  ,2026-09-01
1005,   P101,       S104,       15  ,2026-09-01
1006,   P105,       S102,       -5  ,2026-09-01
1007,,S103,10,2026-09-01
1008,P102,,20,2026-09-01
1009,P106,S101,12,2026-09-01
1010,P107,S102,18,2026-09-01
1011,P108,S103,7,2026-09-01
1012,P109,S104,22,2026-09-01
1013,P110,S101,14,2026-09-01
1014,P111,S102,9,2026-09-01
1015,P112,S103,16,2026-09-01
1016,P113,S104,11,2026-09-01
1017,P114,S101,5,2026-09-01
1018,P115,S102,8,2026-09-01
1019,P116,S103,13,2026-09-01
1020,P117,S104,17,2026-09-01
1021,P118,S101,20,2026-09-01
1022,P119,S102,15,2026-09-01
1023,P120,S103,30,2026-09-01
1024,P121,S104,10,2026-09-01
1025,P122,S101,6,2026-09-01
1026,P123,S102,9,2026-09-01
1027,P124,S103,4,2026-09-01
1028,P125,S104,7,2026-09-01
1029,P126,S101,5,2026-09-01
1030,P127,S102,12,2026-09-01
1031,P128,S103,8,2026-09-01
1032,P129,S104,14,2026-09-01
1033,P130,S101,25,2026-09-01
1034,P131,S102,30,2026-09-01
1035,P132,S103,35,2026-09-01
1036,P133,S104,20,2026-09-01
1037,P134,S101,18,2026-09-01
1038,P135,S102,22,2026-09-01
1039,P136,S103,15,2026-09-01
1040,P137,S104,10,2026-09-01
1041,P138,S101,28,2026-09-01
1042,P139,S102,16,2026-09-01
1043,P140,S103,19,2026-09-01
1044,P141,S104,32,2026-09-01
1045,P142,S101,25,2026-09-01
1046,P143,S102,20,2026-09-01
1047,P144,S103,15,2026-09-01
1048,P145,S104,10,2026-09-01
1049,P146,S101,18,2026-09-01
1050,P147,S102,24,2026-09-01
1051,P148,S103,21,2026-09-01
1052,P149,S104,17,2026-09-01
1053,P150,S101,30,2026-09-01
1054,P151,S102,35,2026-09-01
1055,P152,S103,28,2026-09-01
1056,P153,S104,20,2026-09-01
1057,P154,S101,15,2026-09-01
1058,P155,S102,40,2026-09-01
1059,P156,S103,45,2026-09-01
1060,P157,S104,32,2026-09-01
1061,P158,S101,27,2026-09-01
1062,P159,S102,18,2026-09-01
1063,P160,S103,24,2026-09-01
1064,P161,S104,30,2026-09-01
1065,P162,S101,22,2026-09-01
1066,P163,S102,16,2026-09-01
1067,P164,S103,19,2026-09-01
1068,P165,S104,25,2026-09-01
1069,P166,S101,35,2026-09-01
1070,P167,S102,40,2026-09-01
1071,P168,S103,38,2026-09-01
1072,P169,S104,42,2026-09-01
1073,P170,S101,30,2026-09-01
1074,P171,S102,28,2026-09-01
1075,P172,S103,25,2026-09-01
1076,P173,S104,20,2026-09-01
1077,P174,S101,18,2026-09-01
1078,P175,S102,24,2026-09-01
1079,P176,S103,12,2026-09-01
1080,P177,S104,15,2026-09-01
1081,P178,S101,8,2026-09-01
1082,P179,S102,10,2026-09-01
1083,P180,S103,14,2026-09-01
1084,P181,S104,35,2026-09-01
1085,P182,S101,40,2026-09-01
1086,P183,S102,30,2026-09-01
1087,P184,S103,25,2026-09-01
1088,P185,S104,20,2026-09-01
1089,P186,S101,12,2026-09-01
1090,P187,S102,8,2026-09-01
1091,P188,S103,15,2026-09-01
1092,P189,S104,18,2026-09-01
1093,P190,S101,20,2026-09-01
1094,P191,S102,10,2026-09-01
1095,P192,S103,25,2026-09-01
1096,P193,S104,15,2026-09-01
1097,P194,S101,0,2026-09-01
1098,P195,S102,abc,2026-09-01
1099,P196,S103,12,
1100,P197,S104,10,wrong-date
