store_id,store_name,city,state
S101,Reliance Fresh,Noida,Uttar Pradesh
S102,DMart,Delhi,Delhi
S103,Smart Store,Gurugram,Haryana
S104,Fresh Mart,Noida,Uttar Pradesh
S105,Reliance Smart,Ghaziabad,Uttar Pradesh
S106,More Supermarket,Noida,Uttar Pradesh
S107,Easyday,Gurugram,Haryana
S108,Spencer Retail,Delhi,Delhi
S109,Big Bazaar,Noida,Uttar Pradesh
S110,Daily Needs,Ghaziabad,Uttar Pradesh
S111,City Mart,Faridabad,Haryana
S112,Super Mart,Delhi,Delhi
S113,Fresh Basket,Noida,Uttar Pradesh
S114,Green Mart,Gurugram,Haryana
S115,Family Store,Ghaziabad,Uttar Pradesh
S116,Metro Mart,Delhi,Delhi
S117,Daily Fresh,Noida,Uttar Pradesh
S118,Quick Mart,Faridabad,Haryana
S119,Smart Bazaar,Gurugram,Haryana
S120,Value Store,Delhi,Delhi
S121,Fresh Point,Noida,Uttar Pradesh
S122,City Bazaar,Ghaziabad,Uttar Pradesh
S123,Family Mart,Faridabad,Haryana
S124,Super Bazaar,Gurugram,Haryana
S125,Daily Basket,Delhi,Delhi
S126,Green Basket,Noida,Uttar Pradesh
S127,Value Mart,Ghaziabad,Uttar Pradesh
S128,Fresh Choice,Faridabad,Haryana
S129,City Fresh,Gurugram,Haryana
S130,Quick Basket,Delhi,Delhi
S131,Prime Mart,Noida,Uttar Pradesh
S132,Urban Store,Ghaziabad,Uttar Pradesh
S133,Happy Mart,Faridabad,Haryana
S134,Fresh World,Gurugram,Haryana
S135,Daily Mart,Delhi,Delhi
S136,Smart Basket,Noida,Uttar Pradesh
S137,Family Basket,Ghaziabad,Uttar Pradesh
S138,Green Store,Faridabad,Haryana
S139,Urban Mart,Gurugram,Haryana
S140,Prime Store,Delhi,Delhi
S141,Fresh Hub,Noida,Uttar Pradesh
S142,Daily Hub,Ghaziabad,Uttar Pradesh
S143,Smart Hub,Faridabad,Haryana
S144,City Hub,Gurugram,Haryana
S145,Family Hub,Delhi,Delhi
S146,Value Basket,Noida,Uttar Pradesh
S147,Quick Store,Ghaziabad,Uttar Pradesh
S148,Super Store,Faridabad,Haryana
S149,Green Bazaar,Gurugram,Haryana
S150,Urban Bazaar,Delhi,Delhi
S151,Fresh Market,Noida,Uttar Pradesh
S152,Daily Market,Ghaziabad,Uttar Pradesh
S153,Smart Market,Faridabad,Haryana
S154,City Market,Gurugram,Haryana
S155,Family Market,Delhi,Delhi
S156,Prime Bazaar,Noida,Uttar Pradesh
S157,Value Bazaar,Ghaziabad,Uttar Pradesh
S158,Quick Bazaar,Faridabad,Haryana
S159,Super Basket,Gurugram,Haryana
S160,Green Market,Delhi,Delhi
S161,Urban Basket,Noida,Uttar Pradesh
S162,Prime Basket,Ghaziabad,Uttar Pradesh
S163,Fresh Corner,Faridabad,Haryana
S164,Daily Corner,Gurugram,Haryana
S165,Smart Corner,Delhi,Delhi
S166,City Corner,Noida,Uttar Pradesh
S167,Family Corner,Ghaziabad,Uttar Pradesh
S168,Value Corner,Faridabad,Haryana
S169,Quick Corner,Gurugram,Haryana
S170,Super Corner,Delhi,Delhi
S171,Green Corner,Noida,Uttar Pradesh
S172,Urban Corner,Ghaziabad,Uttar Pradesh
S173,Prime Corner,Faridabad,Haryana
S174,Fresh Zone,Gurugram,Haryana
S175,Daily Zone,Delhi,Delhi
S176,Smart Zone,Noida,Uttar Pradesh
S177,City Zone,Ghaziabad,Uttar Pradesh
S178,Family Zone,Faridabad,Haryana
S179,Value Zone,Gurugram,Haryana
S180,Quick Zone,Delhi,Delhi
S181,Super Zone,Noida,Uttar Pradesh
S182,Green Zone,Ghaziabad,Uttar Pradesh
S183,Urban Zone,Faridabad,Haryana
S184,Prime Zone,Gurugram,Haryana
S185,Fresh Plaza,Delhi,Delhi
S186,Daily Plaza,Noida,Uttar Pradesh
S187,Smart Plaza,Ghaziabad,Uttar Pradesh
S188,City Plaza,Faridabad,Haryana
S189,Family Plaza,Gurugram,Haryana
S190,Value Plaza,Delhi,Delhi
S191,Quick Plaza,Noida,Uttar Pradesh
S192,Super Plaza,Ghaziabad,Uttar Pradesh
S193,Green Plaza,Faridabad,Haryana
S194,Urban Plaza,Gurugram,Haryana
S101,Reliance Fresh,Noida,Uttar Pradesh
S102,DMart,Delhi,Delhi
S195,,Noida,Uttar Pradesh
S196,New City Mart,,Delhi
S197,Premium Mart,Gurugram,
,Local Fresh,Noida,Uttar Pradesh
